idpm;ih;latitud;longitud
5504;256.0;39,435795332966;-0,39468641255548
5503;165.0;39,4358838721955;-0,395100851199356
5501;186.0;39,4361189428472;-0,397389366272636
5502;123.0;39,4361329391657;-0,397170337890562
4326;184.0;39,4418006167664;-0,371862969996983
4116;4437.0;39,4422783522805;-0,391900950635733
4117;2919.0;39,4423811933534;-0,391642625485116
4329;527.0;39,4444246976028;-0,374701238096703
4330;395.0;39,4444714627792;-0,371157855387767
4315;402.0;39,4447374758947;-0,379955425396479
4328;621.0;39,4448345237711;-0,378653492088029
4316;534.0;39,4448966082644;-0,380076537628466
4304;7865.0;39,4448990768965;-0,368856283744215
4317;;39,4449122750823;-0,379588605606448
4318;;39,4449178326299;-0,379305666907083
4109;2332.0;39,4449800928165;-0,386890188327959
4302;1936.0;39,4450627054742;-0,370988302239846
4322;1798.0;39,4451235865399;-0,371110953098038
4327;786.0;39,445132548106;-0,378702766234427
4303;10228.0;39,4451710648367;-0,369068526645679
4313;3291.0;39,4452824709044;-0,37817224119679
4323;1682.0;39,4452862358136;-0,370986863138701
4324;3164.0;39,4454341403423;-0,378311884141514
4325;5970.0;39,4456493588918;-0,381985232249736
4310;2715.0;39,4456672078951;-0,380548680313363
4107;2303.0;39,4457411713602;-0,386657096209108
4301;1713.0;39,4458499605512;-0,36999960737235
4319;125.0;39,4459987652212;-0,378776667476958
4122;4881.0;39,446111836262;-0,384591858224596
4312;926.0;39,4463403397467;-0,380130625396509
4308;452.0;39,4463892489309;-0,367040077942476
4106;2768.0;39,4466070338015;-0,386785523972434
4309;3516.0;39,4468636145243;-0,366762400748639
4105;2667.0;39,4469626116598;-0,388900789866819
2327;1163.0;39,4470139717164;-0,380039750172136
4108;2120.0;39,4473110550934;-0,385978585512839
2326;867.0;39,447314221333;-0,379889229939235
4306;407.0;39,447388596509;-0,367646212597964
4307;223.0;39,4474927217172;-0,367774358027411
4320;5175.0;39,4475847582639;-0,369190194183654
4104;2747.0;39,4475914397288;-0,390967726679303
4103;3490.0;39,4476291446665;-0,391791525423542
4305;3537.0;39,4476973575585;-0,365662166615778
4115;264.0;39,4477909589952;-0,387988338007639
2235;4095.0;39,4483085613272;-0,369637140928305
2233;1423.0;39,4483673597673;-0,369496930794481
2233;1423.0;39,4483673597673;-0,369496930794481
2232;6269.0;39,4488503717134;-0,370201766070597
4102;3053.0;39,4489395078037;-0,393616768896609
2325;1068.0;39,4489497957673;-0,379578888124879
4121;54.0;39,4489760714204;-0,393043402991905
2324;771.0;39,4491883869572;-0,379430708993683
3407;4885.0;39,4493084710828;-0,360870913517102
4507;250.0;39,4497033207621;-0,336159913719637
1908;1461.0;39,4498700343707;-0,385207665429518
2222;218.0;39,450052604208;-0,369518104002462
4509;326.0;39,4502543581479;-0,335310579805871
4101;2674.0;39,4503375082928;-0,395433188596691
3406;5561.0;39,4503584976633;-0,359151458069816
2221;345.0;39,4503771230707;-0,369819197313473
2220;2258.0;39,4506027392069;-0,37013965737681
2218;1227.0;39,4506430238692;-0,36971117009391
4505;388.0;39,4507481405663;-0,340729606286933
4123;4725.0;39,4507707686424;-0,396281079625401
4510;29.0;39,4507999220827;-0,340952821421234
2323;1087.0;39,4508844972232;-0,379102317502194
4508;92.0;39,451112877066;-0,335285117022105
2307;222.0;39,4512761420524;-0,375088567016307
4504;1039.0;39,4513484968657;-0,340501376146508
1904;949.0;39,4513799044208;-0,393692668258746
2322;782.0;39,4514120422544;-0,378881679794815
3402;2172.0;39,4515245113028;-0,350664416553453
2219;409.0;39,4515356912628;-0,370559306754296
1909;1961.0;39,4515391331463;-0,384790270744569
2308;769.0;39,4515551229424;-0,375191695776654
2217;1997.0;39,4515635811699;-0,367865589302857
4506;532.0;39,4515873589268;-0,341066148380742
2236;4301.0;39,451823399974;-0,37230296359217
2237;4325.0;39,4519788238039;-0,372197937169544
